emoji_level,font_file,cp_seq,supported
1.0,api_level/21/NotoColorEmoji.ttf,"(9918,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9924,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9925,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9928,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9934,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9935,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9937,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9939,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9940,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9961,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9962,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9968,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9969,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9970,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9971,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9972,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9973,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9975,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9976,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9977,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9978,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9981,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9986,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9989,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9992,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9993,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9994,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9995,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9996,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(9997,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(9999,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10002,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10004,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10006,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10013,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10017,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10024,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(10035,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10036,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10052,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10055,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10060,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(10062,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(10067,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(10068,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(10069,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(10071,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10083,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10084,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10133,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(10134,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(10135,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(10145,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10160,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(10175,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(10548,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(10549,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(11013,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(11014,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(11015,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(11035,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(11036,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(11088,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(11093,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(12336,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(12349,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(12951,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(12953,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(126980,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127183,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127344,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127345,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127358,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127359,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127374,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127377,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127378,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127379,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127380,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127381,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127382,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127383,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127384,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127385,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127386,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127489,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127490,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127514,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127535,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127538,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127539,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127540,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127541,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127542,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127543,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127544,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127545,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127546,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127568,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127569,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127744,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127745,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127746,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127747,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127748,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127749,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127750,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127751,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127752,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127753,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127754,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127755,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127756,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127757,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127758,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127759,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127760,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127761,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127762,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127763,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127764,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127765,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127766,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127767,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127768,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127769,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127770,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127771,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127772,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127773,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127774,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127775,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127776,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127777,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127780,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127781,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127782,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127783,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127784,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127785,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127786,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127787,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127788,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127789,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127790,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127791,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127792,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127793,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127794,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127795,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127796,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127797,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127798,)",False
1.0,api_level/21/NotoColorEmoji.ttf,"(127799,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127800,)",True
1.0,api_level/21/NotoColorEmoji.ttf,"(127801,)",True
